x,y
158.40000915527344,501.1341552734375
158.40000915527344,487.0838623046875
165.366455078125,480
179.416748046875,480
193.467041015625,480
207.5174560546875,480
221.5677490234375,480
235.6180419921875,480
249.6683349609375,480
263.7186279296875,480
277.7689208984375,480
291.8193359375,480
305.86962890625,480
319.919921875,480
333.97021484375,480
348.0205078125,480
362.07080078125,480
376.12109375,480
390.1715087890625,480
404.2218017578125,480
418.2720947265625,480
430.4000244140625,481.92236328125
430.4000244140625,495.97265625
430.4000244140625,510.02294921875
430.4000244140625,524.0733642578125
431.7865295410156,537.7578125
443.0849304199219,535.588134765625
443.2000427246094,521.5454406738281
443.2000427246094,507.4951477050781
443.2000427246094,493.4448547363281
443.8055725097656,480.0000305175781
457.8559875488281,480.0000305175781
471.9062805175781,480.0000305175781
485.9565734863281,480.0000305175781
500.0068359375,480
513.3014221191406,476.08349609375
522.4550170898438,465.6648254394531
524.8000183105469,451.9614562988281
524.8000183105469,437.9111633300781
524.8000183105469,423.8608703613281
524.8000183105469,409.8105773925781
524.8000183105469,395.7602844238281
524.8000183105469,381.7099914550781
524.8000183105469,367.6596984863281
523.5164489746094,359.3282775878906
529.6720275878906,346.7020263671875
534.8265991210938,333.63543701171875
538.9166259765625,320.19769287109375
541.8829956054688,306.4683837890625
543.6767578125,292.5373229980469
189.1502685546875,176.4050750732422
182.56497192382812,163.9936065673828
175.96263122558594,151.59115600585938
169.34059143066406,139.19923400878906
162.6878662109375,126.82389068603516
155.98855590820312,114.47357177734375
149.20555114746094,102.16910552978516
149.3673095703125,92.80000305175781
163.4176025390625,92.80000305175781
177.4678955078125,92.80000305175781
191.5181884765625,92.80000305175781
205.5672149658203,92.90455627441406
219.5579833984375,94.12968444824219
233.344482421875,96.80426025390625
246.74923706054688,100.98806762695312
259.5756378173828,106.70287322998047
271.6054229736328,113.94447326660156
282.57183837890625,122.71076202392578
293.4125061035156,131.63397979736328
305.0657043457031,139.4730682373047
317.4516296386719,146.09314727783203
330.44488525390625,151.4239044189453
343.9122619628906,155.40725708007812
357.7156066894531,157.9980010986328
371.7110290527344,159.16529846191406
385.7585144042969,159.33154296875
399.7567443847656,160.48989868164062
413.61016845703125,162.81021118164062
427.23284912109375,166.23512268066406
440.55450439453125,170.6908721923828
453.5204772949219,176.09645080566406
466.0162048339844,182.5063018798828
477.77886962890625,190.17941284179688
488.72479248046875,198.97958374023438
498.77191162109375,208.793701171875
507.8489074707031,219.51148986816406
515.8905334472656,231.02688598632812
522.1574401855469,243.5922393798828
526.8666687011719,256.82054138183594
529.9033203125,270.5292205810547
531.1661376953125,284.5126953125
530.4151611328125,298.52777099609375
527.8781433105469,312.3406982421875
524.0435485839844,325.8528747558594
518.977783203125,338.9521789550781
512.4765319824219,351.3965148925781
503.94635009765625,362.5225830078125
490.48858642578125,363.9999694824219
476.43829345703125,363.9999694824219
462.38800048828125,363.9999694824219
448.33770751953125,363.9999694824219
434.28741455078125,363.9999694824219
420.23712158203125,363.9999694824219
406.18682861328125,363.9999694824219
392.13653564453125,364
378.08624267578125,364
364.03570556640625,364
349.98541259765625,364
335.93511962890625,364
321.88482666015625,364
307.83453369140625,364
293.78424072265625,364
285.66058349609375,353.96087646484375
278.88787841796875,341.6507568359375
272.1281280517578,329.3334045410156
265.3824768066406,317.0082702636719
258.65016174316406,304.67584228515625
251.93136596679688,292.3360900878906
245.22532653808594,279.9895324707031
238.53395080566406,267.6346130371094
231.85733032226562,255.27212524414062
232.49168395996094,242.9490966796875
239.26583862304688,230.6396942138672
245.90640258789062,218.25808715820312
252.29049682617188,205.74362182617188
245.10264587402344,196.89520263671875
236.6136474609375,207.44029235839844
229.9272003173828,219.7972869873047
223.47286987304688,232.27737426757812
216.8580322265625,227.3289337158203
210.11651611328125,215.00161743164062
203.37501525878906,202.67430114746094
196.63339233398438,190.3467559814453
225.2894744873047,270.790771484375
231.99705505371094,283.1365966796875
238.70462036132812,295.482421875
245.41220092773438,307.8282165527344
252.11976623535156,320.1740417480469
258.82733154296875,332.5198669433594
265.534912109375,344.8656921386719
272.2424774169922,357.21148681640625
272.2963562011719,365.5999755859375
258.2460632324219,365.6000061035156
244.19577026367188,365.6000061035156
230.14547729492188,365.6000061035156
216.09494018554688,365.6000061035156
202.04464721679688,365.6000061035156
187.99435424804688,365.6000061035156
173.94406127929688,365.6000061035156
167.18505859375,361.31256103515625
174.03016662597656,349.0424499511719
180.8926239013672,336.78192138671875
187.76129150390625,324.525146484375
194.63192749023438,312.2693786621094
201.4995574951172,300.01177978515625
208.36074829101562,287.7505187988281
215.20904541015625,275.48236083984375
511.1623840332031,456.1080627441406
502.922119140625,466.5604553222656
488.9443359375,467.199951171875
474.89404296875,467.199951171875
