second,pitch,note,note_number
303,117.76842179999998,A#2,11.0
304,69.25596920000001,C#2,2.0
305,9.810298999999999,D#-1,4.0
306,94.8638106,F#2,7.0
307,0.0,0,0.0
308,0.0,0,0.0
309,0.0,0,0.0
310,0.0,0,0.0
311,0.0,0,0.0
312,0.0,0,0.0
313,0.0,0,0.0
314,0.0,0,0.0
315,0.0,0,0.0
316,251.3802674,B3,12.0
317,318.74032600000004,D#4,4.0
318,220.3360266666667,A3,10.0
319,93.9079072,F#2,7.0
320,348.0683491666667,F4,6.0
321,162.2845368,E3,5.0
322,231.786853,A#3,11.0
323,222.12667083333335,A3,10.0
324,343.7208984,F4,6.0
325,265.5805236,C4,1.0
326,123.62652600000001,B2,12.0
327,233.640863,A#3,11.0
328,342.505905,F4,6.0
329,285.3481628,D4,3.0
330,51.7352662,G#1,9.0
331,305.2136941666667,D#4,4.0
332,307.4275574,D#4,4.0
333,309.13761400000004,D#4,4.0
334,309.64364020000005,D#4,4.0
335,246.49686899999998,B3,12.0
336,0.0,0,0.0
337,0.0,0,0.0
338,0.0,0,0.0
339,0.0,0,0.0
340,0.0,0,0.0
341,0.0,0,0.0
342,0.0,0,0.0
343,0.0,0,0.0
344,0.0,0,0.0
345,0.0,0,0.0
346,0.0,0,0.0
347,47.0276276,F#1,7.0
348,228.0435518,A#3,11.0
349,212.64064283333337,G#3,9.0
350,272.12246999999996,C#4,2.0
351,211.48690779999998,G#3,9.0
352,0.0,0,0.0
353,0.0,0,0.0
354,0.0,0,0.0
355,0.0,0,0.0
356,0.0,0,0.0
357,0.0,0,0.0
358,0.0,0,0.0
359,0.0,0,0.0
360,0.0,0,0.0
361,0.0,0,0.0
362,0.0,0,0.0
